County,Cost,State
Marquette,"1,516",Wisconsin
Menominee,"1,677",Wisconsin
Milwaukee,"1,938",Wisconsin
Monroe,"1,480",Wisconsin
Oconto,"1,517",Wisconsin
Oneida,"1,287",Wisconsin
Outagamie,"1,693",Wisconsin
Ozaukee,"1,469",Wisconsin
Pepin,"1,494",Wisconsin
Pierce,"1,506",Wisconsin
Polk,"1,506",Wisconsin
Portage,"1,874",Wisconsin
Price,"1,130",Wisconsin
Racine,"1,977",Wisconsin
Richland,"1,515",Wisconsin
Rock,"2,189",Wisconsin
Rusk,"1,111",Wisconsin
Sauk,"1,498",Wisconsin
Sawyer,"1,251",Wisconsin
Shawano,"1,771",Wisconsin
Sheboygan,"1,089",Wisconsin
St.Croix,"1,506",Wisconsin
Taylor,"1,087",Wisconsin
Trempealeau,"1,414",Wisconsin
Vernon,"1,518",Wisconsin
Vilas,"1,287",Wisconsin
Walworth,"1,854",Wisconsin
Washburn,"1,377",Wisconsin
Washington,"1,372",Wisconsin
Waukesha,"1,816",Wisconsin
Waupaca,"2,373",Wisconsin
Waushara,"1,576",Wisconsin
Winnebago,"1,312",Wisconsin
Wood,"1,087",Wisconsin
